skill_id,enabled,chance,wave_count_default,wave_count_with_tactical_reposition,wave_damage_attack_ratio,wave_damage_three_attr_ratio,line.distance,line.width,line.max_targets,line.target_fx_scale,line.target_fx_time,line.hit_fx_scale,line.hit_fx_time,line.instant_hit,damage_attack_ratio,damage_attack_speed_ratio,line_aoe_radius,line_aoe_ratio,arrow_rain.radius,arrow_rain.tick_count,arrow_rain.tick_interval,arrow_rain.tick_damage_attack_ratio,arrow_rain.fx_pulse_every,damage_missing_hp_ratio,hit_count_trigger,storm_radius,tick_count,tick_interval,tick_damage_attack_ratio,tick_damage_sword_intent_ratio,spoke_count,spoke_rotation_delta,spoke_radius_ratio,edge_scale_ratio,edge_scale_floor,fx_pulse_every,trigger_floor_default,trigger_floor_with_crit_card,aoe_radius,demon_damage_attack_ratio,interval,splash_radius,splash_damage_attack_ratio,tick_damage_max_hp_ratio,summon_duration,summon_kind,bolts_per_tick,base_target_count,min_target_count,max_target_count,damage_ratio_default,damage_ratio_with_talent,range,runtime_bonus_key,card_bonus_target_count,heal_max_hp_ratio,multishot,bonus_target_count,cycle_interval,frenzy_duration,all_damage_bonus,kill_threshold,trigger_chance,demon_duration,sword_intent_gain,radius,line_distance_default,line_distance_with_tail_sweep,line_width_default,line_width_with_tail_sweep,width_scale_with_tail_sweep,min_width,pierce_width_ratio,min_pierce_width,name,summary,base_damage_ratio,base_cooldown,base_range,base_pierce,base_pierce_width,base_repeat_count,ui_icon,icon,archetype
bond_pyromancer,1,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,460,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_ranger,1,0.16,,,,,,,,,,,,,1.85,0.8,220,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_roamer,1,0.12,,,,,,,,,,,,,,,,,420,5,0.55,0.92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_skeletonmage,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_stormlord,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,4,4,1,5,0.65,0.9,1200,lightning_target_count,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_swordsage,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,420,15,0.2,0.1,2.4,6,0.24,0.76,0.72,0.65,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_armor_mastery,1,0.3,,,,,,,,,,,,,0.1,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_armor_pierce,1,0.16,,,,,,,,,,,,,1.85,0.8,220,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_arrow_rain_global,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.55,0.92,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,
card_bbq,1,0.12,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_berserk_slash,1,0.3,,,,,,,,,,,,,0.1,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_bloodthirst,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_charge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,magic_bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_china_pride,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,1,,,,,,,,,,,,,,,,,,,,
card_demonize,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4,6,,,,,,,,,,,,,,,,,,,,,
card_flame_shield,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_frenzy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
card_hawk,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_hunter,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,magic_bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_multishot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_nature_body,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,23,magic_deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_pierce_arrow,1,0.16,,,,,,,,,,,,,1.85,0.8,220,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_poison_front_rain,1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_poison_rain,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_shadow_dance,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_sharpness,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_skeleton_dominate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_skeleton_fear,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_skeleton_judgement,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_skeleton_revive,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_skeleton_suppress,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_slash,1,,,,,,,,,,,,,,1.8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_strength_awakening,1,0.3,,,,,,,,,,,,,0.1,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_sword_soul,1,,,,,,,,,,,,,,1.8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_tenacity,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_thunder_chant,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,3,,,0.72,0.98,1200,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_venom_sting,1,0.14,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragon_fireball,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,1840,250,360,1.2,160,0.76,140,,,,,,,,,,,
