order_index,pool_id,item_id,name,rarity,source_exchange_points,summary,source_image,notes
37,treasure_hunt_pool_1,sr_luoyang_pick,洛阳铁锹,SR,1200,"+18荣誉积分、+10攻击力、+500城防生命值",QQ截图20260421231743.png,图片素材源自向魔兽开炮夺宝奇兵
38,treasure_hunt_pool_1,sr_agate_ring,玛瑙戒,SR,1200,"+18荣誉积分、+5%经验加成",QQ截图20260421231750.png,图片素材源自向魔兽开炮夺宝奇兵
39,treasure_hunt_pool_1,sr_fist_gloves,叉霸拳套,SR,1200,"+18荣誉积分、+6力量、+6敏捷、+6智力",QQ截图20260421231756.png,图片素材源自向魔兽开炮夺宝奇兵
40,treasure_hunt_pool_1,sr_power_staff,权力法杖,SR,1200,"+18荣誉积分、+3%智力加成、+1%冷却缩减",QQ截图20260421231803.png,图片素材源自向魔兽开炮夺宝奇兵
41,treasure_hunt_pool_1,sr_burning_torch,烧天火把,SR,1200,"+18荣誉积分、+2%力量加成、+2%敏捷加成、+2%智力加成",QQ截图20260421231809.png,图片素材源自向魔兽开炮夺宝奇兵
42,treasure_hunt_pool_1,sr_godslayer_blade,斩神刀,SR,1200,"+18荣誉积分、+5力量、+3%力量加成",QQ截图20260421231816.png,图片素材源自向魔兽开炮夺宝奇兵
43,treasure_hunt_pool_1,sr_sky_lantern,天灯,SR,1200,"+18荣誉积分、+3%攻击加成、+5%攻击速度",QQ截图20260421231823.png,图片素材源自向魔兽开炮夺宝奇兵
44,treasure_hunt_pool_1,sr_tianji_umbrella,天机伞,SR,1200,"+18荣誉积分、+5敏捷、+3%物理伤害",QQ截图20260421231829.png,图片素材源自向魔兽开炮夺宝奇兵
45,treasure_hunt_pool_1,sr_blood_drink_blade,血饮刀,SR,1200,"+18荣誉积分、+5%装备属性加成",QQ截图20260421231836.png,图片素材源自向魔兽开炮夺宝奇兵
46,treasure_hunt_pool_1,ssr_little_joker,小王,SSR,3000,"+88荣誉积分、+15攻击力、+10力量、+10敏捷、+10智力；升级额外+10攻击力",QQ截图20260421231842.png,图片素材源自向魔兽开炮夺宝奇兵
47,treasure_hunt_pool_1,ssr_big_joker,大王,SSR,3000,"+88荣誉积分、+5%对小怪伤害、+5%对精英伤害、+5%对BOSS伤害；每10秒对1200范围敌人造成攻击力x200%的法术伤害",QQ截图20260421231849.png,图片素材源自向魔兽开炮夺宝奇兵
48,treasure_hunt_pool_1,ssr_golden_mallet,金色棒槌,SSR,3000,"+88荣誉积分、+5%金币加成、+5%杀敌加成、+2%最终伤害；+100初始木头",QQ截图20260421231855.png,图片素材源自向魔兽开炮夺宝奇兵
49,treasure_hunt_pool_1,ssr_gold_cauldron,金源鼎,SSR,3000,"+88荣誉积分、+5%攻击加成、+5%城防生命加成、+5%装备属性加成；+10每秒回血",QQ截图20260421231903.png,图片素材源自向魔兽开炮夺宝奇兵
50,treasure_hunt_pool_1,ssr_secret_document,绝密文件,SSR,3000,"+88荣誉积分、+2%力量加成、+2%敏捷加成、+2%智力加成、+2%最终伤害；每通关一个难度，+1%最终伤害",QQ截图20260421231910.png,图片素材源自向魔兽开炮夺宝奇兵
51,treasure_hunt_pool_1,ssr_yin_yang_talisman,两仪符,SSR,3000,"+88荣誉积分、+10力量、+10敏捷、+10智力、+5%力量加成；集齐两仪符、摸金盘、气运罗盘获得+20攻击力、+5%最终伤害",QQ截图20260421231918.png,图片素材源自向魔兽开炮夺宝奇兵
52,treasure_hunt_pool_1,ssr_tomb_gold_plate,摸金盘,SSR,3000,"+88荣誉积分、+10力量、+10敏捷、+10智力、+5%敏捷加成；集齐两仪符、摸金盘、气运罗盘获得+20攻击力、+5%最终伤害",QQ截图20260421231925.png,图片素材源自向魔兽开炮夺宝奇兵
53,treasure_hunt_pool_1,ssr_luck_compass,气运罗盘,SSR,3000,"+88荣誉积分、+10力量、+10敏捷、+10智力、+5%智力加成；集齐两仪符、摸金盘、气运罗盘获得+20攻击力、+5%最终伤害",QQ截图20260421231931.png,图片素材源自向魔兽开炮夺宝奇兵
54,treasure_hunt_pool_1,ssr_war_drum,战鼓,SSR,3000,"+88荣誉积分、+15攻击力、+3%物理伤害、+3%法术伤害；+10%攻击速度",QQ截图20260421231937.png,图片素材源自向魔兽开炮夺宝奇兵
